,number,position,term,ward,district,candidates,candidate_count
302,2,commissioner,"2,4",,MOUNT LEBANON,"['Steve Silverman', 'Craig  Grella', 'Hillary Lohr']",3
303,2,constable,,,MOUNT LEBANON,['Dimitro C. Kulik'],1
304,1,mayor,,,MOUNT OLIVER,"['Joanna Neeley Taylor', 'Frank C. Bernardini']",2
305,1,tax collector,,,MOUNT OLIVER,['Tina M. Carcia'],1
306,4,member of council,,,MOUNT OLIVER,"['Nicholas Viglione', 'Francis E. Heckmann', 'Brandon Taylor', 'Nicholas Thomas Drop', 'Lisa M. Pietrusza', 'Paul J. Doyle']",6
307,1,constable,,,MOUNT OLIVER,['A.P.  Malloy'],1
308,1,mayor,,,MUNHALL,['Rob Falce'],1
309,1,tax collector,,,MUNHALL,['Donna J. Mercuri'],1
310,4,member of council,,,MUNHALL,"['Maureen Fry', 'David  Younkins, Sr.', 'Scott D. Stevens', 'James Petruzzi', 'Richard Brennan', 'Mark  Morrison', 'Richard J. Votedian', 'Harvey Inglis']",8
311,1,constable,,,MUNHALL,['John Craycraft'],1
312,1,tax collector,,,NEVILLE,['none'],0
315,2,constable,,,NEVILLE,['James K. Claytor'],1
316,1,mayor,,,NORTH BRADDOCK,"['Cletus Lee', 'Albert Senic, Jr.']",2
317,1,tax collector,,,NORTH BRADDOCK,['Kathleen M. Evanchec'],1
321,1,tax collector,,,NORTH FAYETTE,['Thomas J. Falcioni'],1
322,1,auditor,,,NORTH FAYETTE,['none'],0
323,1,supervisor,,,NORTH FAYETTE,"['Jim Morosetti', 'Jeffrey M. Kammerdeiner']",2
324,1,constable,,,NORTH FAYETTE,['William B. Osterritter'],1
325,1,tax collector,,,NORTH VERSAILLES,['Mary Ann Fetsick'],1
327,2,constable,,,NORTH VERSAILLES,"['Thomas R. Leicht, Jr.']",1
328,1,mayor,,,OAKDALE,['none'],0
329,1,tax collector,,,OAKDALE,['Dawn Ostrander'],1
330,2,member of council,,,OAKDALE,"['William J. Hartman, Jr.', 'Albert Pifer']",2
331,1,constable,,,OAKDALE,['Lyle Grover'],1
332,1,mayor,,,OAKMONT,"['Sophia Facaros', 'Mark Springer']",2
333,1,tax collector,,,OAKMONT,['none'],0
334,4,member of council,,,OAKMONT,"['Tracey Holst', 'Amanda J. Pagnotta', 'Hilary Felix', 'Jamie Leonardi', 'Anne Bauer', 'Kimberly Butler']",6
335,1,constable,,,OAKMONT,['none'],0
336,1,treasurer,,,OHARA,['none'],0
337,1,auditor,,,OHARA,['none'],0
339,2,constable,,,OHARA,['Francis Peitz'],1
340,1,tax collector,,,OHIO,['Kristen A. Pontello'],1
341,1,supervisor,,,OHIO,['Robert H. Huffmyer'],1
342,1,constable,,,OHIO,['none'],0
343,2,member of council,,,PENN HILLS,"['Joanne M. Fascio', 'John Petrucci', 'Catherine Sapp']",3
344,2,constable,,,PENN HILLS,"['Scott Buzzard', 'Louis J. Leon']",2
345,1,mayor,,,PENNSBURY VILLAGE,['Lucy A. Harper'],1
346,1,tax collector,,,PENNSBURY VILLAGE,['Patricia E. Notaro'],1
347,4,member of council,4,,PENNSBURY VILLAGE,"['Carolyn D. Waldner', 'Marita L. Haubrick', 'Maria Uzair Shamsi', 'Nicholas Honchar', 'Brenda L. George']",5
348,1,member of council,2,,PENNSBURY VILLAGE,"['Carolyn D. Waldner', 'Marita L. Haubrick', 'Maria Uzair Shamsi', 'Nicholas Honchar', 'Brenda L. George']",5
349,1,constable,,,PENNSBURY VILLAGE,['none'],0
350,2,supervisor,,,PINE,"['Albert Villanueva', 'Audrey Mackie']",2
351,1,constable,,,PINE,['none'],0
352,1,mayor,,,PITCAIRN,"['Mika Petrosky', 'Margaret Stevick']",2
353,1,tax collector,,,PITCAIRN,['Sally DiRobbio'],1
354,4,member of council,,,PITCAIRN,"['Megan Law', 'Ashley Campbell', 'Heather Luimes', 'Thomas Dick', 'George Toth']",5
355,1,constable,,,PITCAIRN,['Todd David Cain'],1
356,1,mayor,,,PLEASANT HILLS,['William Donald Trimbath'],1
357,1,tax collector,,,PLEASANT HILLS,['Linda J. Fancsali'],1
